architecture,board_slot_width,bus_interface,chip_package,display_connectors,double_float_performance,foundry,generation,half_float_performance,manufacturer,memory_type,name,pixel_rate,power_connectors,price,ray_tracing_cores,release_date,render_output_processors,shading_units,single_float_performance,streaming_multiprocessors,tensor_cores,texture_mapping_units,texture_rate
Rage 6,Single-slot,AGP 4x,,1x VGA,,TSMC,Rage 6,,ATI,DDR,Radeon DDR,0.332,None,0,0,2000-04-01,2,0,,0,0,6,0.996
Rage 6,Single-slot,AGP 2x,,2x VGA,,TSMC,Rage 6,,ATI,DDR,Radeon DDR MAXX,0.296,1x Molex,0,0,2000-06-01,2,0,,0,0,6,0.888
Rage 6,Single-slot,AGP 4x,,1x VGA,,TSMC,Rage 6,,ATI,SDR,Radeon SDR,0.332,None,0,0,2000-06-01,2,0,,0,0,6,0.996
Rage 6,Single-slot,PCI,,"1x VGA, 1x S-Video",,TSMC,Rage 6,,ATI,SDR,Radeon SDR PCI,0.332,None,0,0,2000-06-01,2,0,,0,0,6,0.996
Voodoo Scalable,Single-slot,AGP 4x,,1x VGA,,TSMC,Voodoo4,,3dfx,SDR,Voodoo4 4000 AGP,0.332,None,0,0,,2,0,,0,0,2,0.332
Voodoo Scalable,Single-slot,AGP 4x,,1x VGA,,TSMC,Voodoo4,,3dfx,SDR,Voodoo4 4500 AGP,0.332,None,0,0,2000-10-13,2,0,,0,0,2,0.332
Voodoo Scalable,Single-slot,PCI,,1x VGA,,TSMC,Voodoo4,,3dfx,SDR,Voodoo4 4500 PCI,0.332,None,0,0,2000-10-13,2,0,,0,0,2,0.332
Voodoo Scalable,Single-slot,AGP 4x,,1x VGA,,TSMC,Voodoo4,,3dfx,SDR,Voodoo4 4800 AGP,0.332,None,0,0,,2,0,,0,0,2,0.332
Voodoo Scalable,Single-slot,AGP 4x,,1x VGA,,TSMC,Voodoo4-2,,3dfx,SDR,Voodoo4-2 4000 AGP,0.332,None,0,0,,2,0,,0,0,2,0.332
Voodoo Scalable,Single-slot,AGP 4x,,"1x DVI, 1x VGA",,TSMC,Voodoo4-2,,3dfx,DDR,Voodoo4-2 4200 AGP,0.286,None,0,0,,2,0,,0,0,2,0.286
Voodoo Scalable,Single-slot,AGP 4x,,"1x DVI, 1x VGA",,TSMC,Voodoo4-2,,3dfx,DDR,Voodoo4-2 4200 PCI 16 MB,0.332,None,0,0,,2,0,,0,0,2,0.332
Voodoo Scalable,Single-slot,AGP 4x,,"1x DVI, 1x VGA",,TSMC,Voodoo4-2,,3dfx,DDR,Voodoo4-2 4200 PCI 32 MB,0.332,None,0,0,,2,0,,0,0,2,0.332
Voodoo Scalable,Single-slot,AGP 4x,,1x VGA,,TSMC,Voodoo4-2,,3dfx,SDR,Voodoo4-2 4800 AGP,0.332,None,0,0,,2,0,,0,0,2,0.332
Voodoo Scalable,Single-slot,AGP 4x,,1x VGA,,TSMC,Voodoo5,,3dfx,SDR,Voodoo5 5000 AGP,0.332,1x Molex,0,0,,2,0,,0,0,2,0.332
Voodoo Scalable,Single-slot,PCI,,1x VGA,,TSMC,Voodoo5,,3dfx,SDR,Voodoo5 5000 PCI,0.332,1x Molex,0,0,,2,0,,0,0,2,0.332
Voodoo Scalable,Single-slot,AGP 2x,,1x VGA,,TSMC,Voodoo5,,3dfx,SDR,Voodoo5 5500 AGP,0.332,1x Molex,0,0,2000-06-22,2,0,,0,0,2,0.332
Voodoo Scalable,Single-slot,PCI,,1x VGA,,TSMC,Voodoo5,,3dfx,SDR,Voodoo5 5500 PCI,0.332,1x Molex,0,0,2000-06-22,2,0,,0,0,2,0.332
Voodoo Scalable,Single-slot,AGP 4x,,1x VGA,,TSMC,Voodoo5,,3dfx,SDR,Voodoo5 6000,0.332,None,0,0,,2,0,,0,0,2,0.332
G400,Single-slot,PCI,,"1x DVI, 1x VGA",,UMC,G Series(G4xx),,Matrox,DDR,Millennium G450,0.25,None,0,0,2000-04-01,2,0,,0,0,2,0.25
